easting,northing,yaw,state_x,state_y,state_yaw
310217.825044,2768165.67798,-0.0409543535631,310217.8266,2768165.6778,-0.0409543535449
310217.825044,2768165.67798,-0.0409543535631,310217.826369,2768165.67783,-0.0409543535492
310217.825044,2768165.67798,-0.0409543535631,310217.826686,2768165.67783,-0.0409543535498
310217.825044,2768165.67798,-0.0409543535631,310217.826445,2768165.67785,-0.0409543535522
310217.825044,2768165.67798,-0.0409543535631,310217.826239,2768165.67787,-0.0409543535548
310217.825044,2768165.67798,-0.0409543535631,310217.826624,2768165.67786,-0.040954353555
310217.825044,2768165.67798,-0.0409543535631,310217.826394,2768165.67788,-0.0409543535564
310217.825044,2768165.67798,-0.0409543535631,310217.826194,2768165.6779,-0.040954353558
310217.805166,2768165.70041,-0.0409543535631,310217.823425,2768165.68133,-0.0409543527741
310217.805166,2768165.70041,-0.0409543535631,310217.820676,2768165.68425,-0.0409543525975
310217.805166,2768165.70041,-0.0409543535631,310217.818324,2768165.68673,-0.040954352679
310217.805166,2768165.70041,-0.0409543535631,310217.816324,2768165.68883,-0.0409543528414
310217.805166,2768165.70041,-0.0409543535631,310217.814622,2768165.6906,-0.0409543530105
310217.805166,2768165.70041,-0.0409543535631,310217.813179,2768165.69211,-0.0409543531548
310217.805166,2768165.70041,-0.0409543535631,310217.811958,2768165.69338,-0.0409543532673
310217.805166,2768165.70041,-0.0409543535631,310217.810966,2768165.69446,-0.0409543533333
310217.805166,2768165.70041,-0.0409543535631,310217.810087,2768165.69537,-0.0409543533901
310217.805166,2768165.70041,-0.0409543535631,310217.809876,2768165.69612,-0.0409543532766
310217.805166,2768165.70041,-0.0409543535631,310217.809164,2768165.69678,-0.0409543532862
